GENE_SYMBOL	COSMIC_GENE_ID	TRANSCRIPT_ACCESSION	GENOMIC_MUTATION_ID	LEGACY_MUTATION_ID	MUTATION_ID	MUTATION_NC_ID	MUTATION_TYPE	IS_CANONICAL
MIR4300HG	COSG89361	ENST00000500502.5	COSV72334142	COSN14836386	149175604		coding	y
ZBED3-AS1	COSG105557	ENST00000646953.1	COSV72345504	COSN19564025	190221882		coding	n
ARHGEF16	COSG113122	ENST00000378378.8	COSV65681576	COSM4143834	122397481		coding	y
SAGE1	COSG78799	ENST00000370709.3	COSV61012345	COSM3558168	121368146		coding	n
PCDHA4	COSG100725	ENST00000512229.6	COSV65342024	COSN14568444	152421972		coding	n
SYNE1	COSG103194	ENST00000341594.9	COSV54944634	COSM1487365	111412366		coding	n
CMTM5	COSG75333	ENST00000359320.7	COSV100198139	COSM8066351	118328477		coding	n
THSD7B	COSG92652	ENST00000272643.7	COSV55688786	COSM3566891	176751797		coding	n
UMAD1	COSG81144	ENST00000463725.5	COSV101298856	COSN30444355	140595739		coding	n
PIEZO2	COSG59752	ENST00000582913.5	COSV57429723	COSN198311	171339074		coding	n
PCDHA1	COSG79850	ENST00000394633.7	COSV65334325	COSM7225036	126909793		coding	n
OR7C1	COSG111662	ENST00000642000.1	COSV50184904	COSM3529433	188961137		coding	n
TTN	COSG105957	ENST00000589042.5	COSV60242808	COSM6269079	173568964		coding	y
PTPRB	COSG95132	ENST00000548122.2	COSV54232028	COSN5796484	163818937		coding	n
PRKN	COSG78769	ENST00000610470.4	COSV58217215	COSN7053387	175816736		coding	n
EPHA6	COSG81859	ENST00000470610.6	COSV67556952	COSN26861459	143634124		coding	n
CD36	COSG68147	ENST00000534394.5	COSV59218489	COSN18423172	160465607		coding	n
PPFIA2	COSG73007	ENST00000550798.1	COSV61049592	COSN15098604	166812334		coding	n
CLCN6	COSG67777	ENST00000376492.3	COSV56742045	COSN28727774	120519767		coding	n
GTF3C3	COSG78151	ENST00000481098.1	COSV55834425	COSM6886217	143520201		coding	n
PRSS50	COSG110519	ENST00000460241.2	COSV70577101	COSN16706554	138039923		coding	y
AC016822.1	COSG95160	ENST00000457975.2	COSV64586393	COSN25345841	138362826		coding	y
TAOK2	COSG80398	ENST00000279394.7	COSV99665001	COSM7469221	105611802		coding	n
DTNB	COSG90317	ENST00000407186.5	COSV56474743	COSM2911914	130373277		coding	n
RALGDS	COSG102669	ENST00000393160.7	COSV100924470	COSM9125234	125788858		coding	n
CNTN4	COSG107395	ENST00000397459.6	COSV61871610	COSN1275724	124814997		coding	n
ITIH2	COSG83122	ENST00000358415.8	COSV64431962	COSN5290836	114991653		coding	y
CACNA1C	COSG59086	ENST00000399591.5	COSV59703256	COSM4748768	127355970		coding	n
PQLC2L	COSG88384	ENST00000461040.5	COSV70247903	COSM1198792	140760753		coding	n
EXT1	COSG91391	ENST00000437196.1	COSV65479233	COSN18954082	136086565		coding	n
TTC4P1	COSG64709	ENST00000427137.1	COSV70910463	COSN9990518	134408778		coding	y
CASK	COSG103015	ENST00000442742.7	COSV59367808	COSN6724828	136169825		coding	n
DIAPH2	COSG69153	ENST00000324765.12	COSV104411101	COSN31951646	111543680		coding	y
MSH6	COSG85949	ENST00000538136.1	COSV52273834	COSN26959357	161955432		coding	n
COL6A5	COSG79188	ENST00000312481.11	COSV55195121	COSM6511529	107847760		coding	n
KCNIP4	COSG73450	ENST00000447367.6	COSV66169539	COSN22853283	139193893		coding	n
CACNA2D3	COSG110978	ENST00000471363.5	COSV55577091	COSN25495636	141509530		coding	n
NAALADL2	COSG102986	ENST00000485853.5	COSV70795294	COSN22337867	147841625		coding	n
DOCK2	COSG71574	ENST00000540750.5	COSV56969321	COSN9012307	164265388		coding	n
PCDHA10	COSG112566	ENST00000562220.2	COSV56485431	COSM7155649	169963559		coding	n
TRIM67	COSG79528	ENST00000366653.5	COSV105279828	COSM9723540	116837237		coding	y
TTN	COSG105957	ENST00000460472.6	COSV60235222	COSN30638671	138733014		coding	n
SPIDR	COSG65557	ENST00000297423.8	COSV52393241	COSN22485357	107840027		coding	y
